,HR_Mean,HR_Median,HR_std_log,HR_Min,HR_Max_boxcox,HR_AUC_inverse,Round,Phase,Individual,Puzzler,Frustrated,Cohort
51,-1.7851620694947155,-1.738382697289296,0.35451380186787496,-1.7223535051635277,-0.5481962465081519,1.6895452100847235,2,3,5,0,4,1
52,-0.12138739188950694,0.031389363975740395,0.42700700637252753,-0.7680762194130655,0.17209890090071867,-1.8186944429076684,2,2,5,0,4,1
53,-0.9199985132538103,-1.1726003734011385,1.2231369127199143,-1.3605827132521586,0.6082800745687402,0.8800138745829524,2,1,5,0,4,1
54,-0.8915712259416361,-0.9899901047501471,0.5974357726093511,-0.8108050531033852,0.10137892370542176,0.8291079193421517,4,3,5,0,2,1
55,-0.7702288191818548,-0.6402450139440078,0.13865052377069562,-0.7823191639765055,-0.6639921702297641,0.6521773886594996,4,2,5,0,4,1
56,-1.757971603369983,-1.83494948342338,0.6389715157047242,-1.693867616036648,-0.9839196665039854,1.6606491815939615,4,1,5,0,0,1
57,0.24860433782049846,0.032008381835575465,1.6204895147487075,-1.2067589119670088,1.4414843406836977,-1.2420892271245216,1,3,5,0,1,1
58,0.16634534926270242,-0.2898809052780369,1.493441379334512,-0.5871908234573815,1.2209842725659155,-0.7798719950857521,1,2,5,0,3,1
59,-0.894089223239047,-1.3168315347424295,1.3547146929783669,-1.4090087247678533,0.6872219524871611,-1.6236958443214338,1,1,5,0,5,1
60,-0.8062457865914845,-0.7912853717434722,-0.26017398197256164,-0.6512840739928597,-0.898264224313721,0.7342338003463335,3,3,6,0,5,1
61,0.5980705383912117,0.8243512424229313,-0.6035317436485327,1.0080189676478684,-0.04226238130295373,-0.5517837168512373,3,2,6,0,2,1
62,0.795610140328341,0.6089330272007448,0.6180913063820462,0.5380017970543578,0.8489558588109031,-0.18643816052289164,3,1,6,0,2,1
63,-0.10547204445173576,0.03077034611590709,-0.09759794540385165,-0.035988868852263406,0.6872219524871611,0.24834652074288077,2,3,6,0,6,1
64,1.0662165912527588,1.0787675828146515,-1.3713811041090722,1.9081730640572583,0.60168968147833,-0.7368390194580313,2,2,6,0,7,1
65,0.5821670932681713,0.601504812882738,-0.2937822784466077,1.0407777401437803,0.1479757512605714,-0.2148699757884015,2,1,6,0,1,1
66,-0.4797938640879412,-0.4446353702365047,-0.509228811029853,0.14916941047245266,-0.4187520567871575,0.47358884980704724,4,3,6,0,5,1
67,0.4002346606096638,0.3811344547818798,0.16342230278292288,0.5166373802091974,0.14392873043647011,-0.23524767561263796,4,2,6,0,5,1
68,0.905442510900411,-0.060844297139505225,1.855520545570888,0.2645372614363148,1.7698327047153752,-1.0508182049975712,4,1,6,0,1,1
69,-0.19731671824023295,0.13662240014750132,0.3231358634615986,-0.6398897183421082,-0.35046228176688116,-0.7988833421797887,1,3,6,0,2,1
70,0.4800827770029214,0.5878864199663912,0.39202079250601546,0.3998452347889926,0.5864604968773225,-1.1039368538585774,1,2,6,0,5,1
71,0.16671007423580167,0.17685856103670156,0.2512696086985584,-0.04880751895935965,0.16007118775810353,-2.224626612178929,1,1,6,0,0,1
72,0.21830551581099572,0.09514820353863096,0.2592888029740248,0.7701617934384247,0.5496317572925778,-0.13897134019875895,3,3,7,1,3,1
73,0.40232093829202653,0.3520406153696879,-0.11875921454698275,0.9724116062392691,0.28656640035627684,-0.43284407542368614,3,2,7,1,6,1
74,-1.100952592670242,-0.8655675149235379,-1.2541577674955793,-0.5829179400883494,-1.7025582708376052,1.3748594239706335,3,1,7,1,4,1
75,0.20863378440248953,0.32480382953699594,0.4881002880402021,-0.3564551215296573,0.20935709294351068,0.1477564181712917,2,3,7,1,5,1
76,0.4640728117412623,0.3415173117525111,0.524815818417974,0.6661882981253141,0.6948454219083139,-0.2107544725633833,2,2,7,1,6,1
77,-0.31939908934253214,-0.07260563647634864,-1.5534004128526446,0.314387567408353,-1.0089964910137799,3.008654923779566,2,1,7,1,2,1
78,-1.0241870854840598,-0.7083369785257351,-0.3568576905006367,-0.8264722921231689,-1.0314386491955339,0.9694070516757773,4,3,7,1,2,1
79,1.4401109817075717,1.3443262446833837,0.6996508527623391,1.1504484132822657,1.12118195936837,-0.8174388932910648,4,2,7,1,4,1
80,-0.6330464823380019,-0.6551014425800212,0.40114923967404315,-0.6227981848659808,0.08894519965952097,0.7488506933200346,4,1,7,1,3,1
81,0.09170548844160277,-0.4594917988725182,1.212575501246299,-0.08583917482430367,1.1147791702057586,-0.971503764848162,1,3,7,1,3,1
82,0.6860415923721044,0.6448360630711084,0.47457497373132584,0.44542265739199877,0.9491615068525794,-2.4411118345902265,1,2,7,1,3,1
83,0.1157739160476823,0.33037499027550277,-0.7123028505895119,0.015285731576119536,-0.47519148135405825,-0.5426659678711732,1,1,7,1,2,1
84,-0.5510122394167651,-0.4013041200481344,-0.3574380919074176,-0.4518828501047037,-0.31162553371920276,0.5800678521078374,3,3,8,0,2,1
85,-0.1897585152465598,0.3384222224533428,0.11748606885185252,-0.6327682460603887,-0.6848470216577892,0.1375164498615357,3,2,8,0,4,1
86,-0.5641520664170949,-0.40997037008580955,-0.18663493864781772,-0.17129684220494124,-0.1588085884492576,0.7756227229045307,3,1,8,0,1,1
87,0.453512718738229,0.42446570497025005,0.45470863504268366,0.5237588524909168,0.36482069896247565,-0.7268227160706718,2,3,8,0,1,1
